unit_id,process_step,machine_id,speed,force_kN,temperature_C,pressure_bar,power_usage_kW
U-1042,laser_cutting,L-03,24.16,,332.12,13.85,19.11
U-1042,bending,B-02,11.4,81.11,27.6,,8.04
U-1042,welding,W-01,0.6,,1533.19,2.88,9.99
U-1043,laser_cutting,L-02,21.97,,331.15,15.0,20.54
U-1043,bending,B-01,9.62,75.2,28.19,,7.61
U-1043,welding,W-02,0.55,,1505.41,2.98,9.03
U-1044,laser_cutting,L-03,19.88,,337.15,13.42,20.3
U-1044,bending,B-02,10.4,76.44,28.97,,6.87
U-1044,welding,W-02,0.6,,1429.93,3.18,10.17
U-1045,laser_cutting,L-03,23.99,,341.77,14.63,19.57
U-1045,bending,B-01,9.28,77.98,27.82,,7.53
U-1045,welding,W-02,0.59,,1417.07,3.41,9.4
U-1046,laser_cutting,L-03,22.85,,338.17,12.72,19.22
U-1046,bending,B-01,10.87,84.98,27.84,,7.67
U-1046,welding,W-01,0.61,,1531.56,2.97,9.55
U-1047,laser_cutting,L-03,22.51,,317.69,13.92,19.55
U-1047,bending,B-01,10.0,78.86,28.17,,6.7
U-1047,welding,W-01,0.56,,1535.93,2.8,10.26
U-1048,laser_cutting,L-01,19.48,,323.52,11.8,18.98
U-1048,bending,B-02,11.21,86.8,28.98,,8.04
U-1048,welding,W-02,0.55,,1561.55,3.03,10.39
U-1049,laser_cutting,L-02,20.63,,297.29,13.82,16.64
U-1049,bending,B-01,10.19,72.75,27.02,,8.0
U-1049,welding,W-02,0.6,,1488.26,3.03,8.72
U-1050,laser_cutting,L-02,20.79,,318.19,15.26,17.34
U-1050,bending,B-01,9.95,83.37,28.48,,7.32
U-1050,welding,W-02,0.6,,1424.83,3.03,8.67
U-1051,laser_cutting,L-01,20.34,,311.84,12.73,17.34
U-1051,bending,B-01,10.74,77.29,27.46,,7.16
U-1051,welding,W-02,0.58,,1432.39,3.0,10.29
U-1052,laser_cutting,L-03,22.85,,338.87,15.24,19.27
U-1052,bending,B-01,9.06,84.72,28.07,,7.48
U-1052,welding,W-01,0.62,,1397.59,3.09,10.35
U-1053,laser_cutting,L-03,23.67,,320.81,13.52,19.2
U-1053,bending,B-02,11.66,80.94,29.58,,6.51
U-1053,welding,W-02,0.56,,1474.2,3.23,9.97
U-1054,laser_cutting,L-02,21.43,,321.43,14.33,18.29
U-1054,bending,B-02,10.65,80.04,28.05,,7.32
U-1054,welding,W-01,0.63,,1512.37,3.01,9.95
U-1055,laser_cutting,L-03,23.88,,306.51,15.22,17.78
U-1055,bending,B-02,11.05,84.79,29.98,,7.23
U-1055,welding,W-02,0.54,,1424.62,3.0,10.17
U-1056,laser_cutting,L-01,18.43,,307.13,12.37,19.39
U-1056,bending,B-02,11.29,89.4,28.79,,7.73
U-1056,welding,W-02,0.52,,1518.41,3.14,10.54
U-1057,laser_cutting,L-01,20.93,,318.2,13.45,18.74
U-1057,bending,B-02,10.83,76.31,27.46,,7.82
U-1057,welding,W-02,0.52,,1440.79,3.29,9.16
U-1058,laser_cutting,L-02,21.82,,310.79,13.8,19.43
U-1058,bending,B-01,10.29,79.49,27.06,,6.94
U-1058,welding,W-01,0.59,,1534.31,3.1,8.26
U-1059,laser_cutting,L-03,21.23,,317.85,14.47,20.67
U-1059,bending,B-02,11.51,81.43,26.82,,7.28
U-1059,welding,W-02,0.58,,1467.9,3.31,10.44
U-1060,laser_cutting,L-03,24.17,,342.56,14.11,19.99
U-1060,bending,B-02,10.18,87.35,29.45,,7.54
