unit_id,quote_id,material_type,thickness_mm,batch_id,weight_kg
U-1042,Q-3006,aluminum_5754,3.0,MB-2206,2.58
U-1043,Q-3000,aluminum_5754,1.5,MB-2211,3.23
U-1044,Q-3004,aluminum_5754,3.0,MB-2201,1.8
U-1045,Q-3009,stainless_steel_304,2.0,MB-2209,3.05
U-1046,Q-3013,stainless_steel_304,2.5,MB-2205,2.04
U-1047,Q-3009,stainless_steel_304,2.0,MB-2222,3.36
U-1048,Q-3009,galvanized_steel,3.0,MB-2217,1.91
U-1049,Q-3016,aluminum_5754,2.0,MB-2217,2.24
U-1050,Q-3006,stainless_steel_304,1.5,MB-2202,2.52
U-1051,Q-3011,stainless_steel_304,4.0,MB-2202,1.6
U-1052,Q-3012,galvanized_steel,4.0,MB-2204,1.61
U-1053,Q-3000,aluminum_5754,2.0,MB-2224,2.82
U-1054,Q-3017,aluminum_5754,2.0,MB-2216,3.04
U-1055,Q-3007,stainless_steel_304,2.5,MB-2203,2.74
U-1056,Q-3011,stainless_steel_304,2.0,MB-2219,2.78
U-1057,Q-3009,galvanized_steel,1.5,MB-2207,2.73
U-1058,Q-3008,stainless_steel_304,2.0,MB-2223,1.28
U-1059,Q-3006,aluminum_5754,2.0,MB-2216,2.65
U-1060,Q-3010,galvanized_steel,2.0,MB-2212,1.23
U-1061,Q-3011,aluminum_5754,2.5,MB-2203,1.85
U-1062,Q-3004,aluminum_5754,3.0,MB-2224,3.22
U-1063,Q-3010,galvanized_steel,1.5,MB-2206,1.4
U-1064,Q-3013,galvanized_steel,1.5,MB-2203,1.25
U-1065,Q-3017,stainless_steel_304,1.5,MB-2222,2.37
U-1066,Q-3013,aluminum_5754,1.5,MB-2214,1.05
U-1067,Q-3016,stainless_steel_304,2.0,MB-2203,2.86
U-1068,Q-3005,stainless_steel_304,2.5,MB-2222,2.27
U-1069,Q-3017,stainless_steel_304,2.5,MB-2219,3.45
U-1070,Q-3012,aluminum_5754,2.0,MB-2201,1.88
U-1071,Q-3015,galvanized_steel,1.5,MB-2219,2.81
U-1072,Q-3019,stainless_steel_304,2.5,MB-2214,1.44
U-1073,Q-3005,aluminum_5754,3.0,MB-2217,3.38
U-1074,Q-3001,aluminum_5754,4.0,MB-2221,3.13
U-1075,Q-3008,stainless_steel_304,2.0,MB-2210,1.93
U-1076,Q-3012,galvanized_steel,2.5,MB-2215,1.24
U-1077,Q-3004,galvanized_steel,2.0,MB-2217,1.74
U-1078,Q-3013,galvanized_steel,3.0,MB-2210,1.9
U-1079,Q-3010,galvanized_steel,2.0,MB-2207,2.53
U-1080,Q-3008,galvanized_steel,1.5,MB-2214,1.18
U-1081,Q-3016,stainless_steel_304,3.0,MB-2202,1.07
U-1082,Q-3017,galvanized_steel,2.5,MB-2222,1.82
U-1083,Q-3006,aluminum_5754,2.0,MB-2215,1.1
U-1084,Q-3011,galvanized_steel,2.0,MB-2212,3.07
U-1085,Q-3018,galvanized_steel,1.5,MB-2220,1.13
U-1086,Q-3012,galvanized_steel,2.5,MB-2213,2.82
U-1087,Q-3007,aluminum_5754,1.5,MB-2219,2.0
U-1088,Q-3014,aluminum_5754,2.0,MB-2223,1.46
U-1089,Q-3005,galvanized_steel,2.0,MB-2201,1.43
U-1090,Q-3011,galvanized_steel,3.0,MB-2221,2.65
U-1091,Q-3000,galvanized_steel,2.5,MB-2223,2.09
U-1092,Q-3014,stainless_steel_304,2.0,MB-2214,2.89
U-1093,Q-3010,stainless_steel_304,1.5,MB-2220,3.14
U-1094,Q-3010,galvanized_steel,1.5,MB-2207,2.23
U-1095,Q-3008,stainless_steel_304,2.0,MB-2210,2.0
U-1096,Q-3015,galvanized_steel,1.5,MB-2219,1.94
U-1097,Q-3010,aluminum_5754,2.5,MB-2224,1.41
U-1098,Q-3005,galvanized_steel,1.5,MB-2220,2.46
U-1099,Q-3006,galvanized_steel,2.5,MB-2219,1.32
U-1100,Q-3004,aluminum_5754,2.0,MB-2210,3.4
U-1101,Q-3002,stainless_steel_304,1.5,MB-2202,1.25
U-1102,Q-3005,stainless_steel_304,2.5,MB-2208,1.18
U-1103,Q-3006,aluminum_5754,1.5,MB-2209,3.04
U-1104,Q-3010,stainless_steel_304,2.5,MB-2224,2.57
U-1105,Q-3016,aluminum_5754,2.0,MB-2209,1.44
U-1106,Q-3017,aluminum_5754,4.0,MB-2218,2.03
U-1107,Q-3006,aluminum_5754,2.0,MB-2205,3.33
U-1108,Q-3014,galvanized_steel,3.0,MB-2209,2.89
U-1109,Q-3018,aluminum_5754,2.5,MB-2222,3.07
U-1110,Q-3019,stainless_steel_304,1.5,MB-2219,3.4
U-1111,Q-3003,galvanized_steel,4.0,MB-2220,2.69
U-1112,Q-3000,galvanized_steel,1.5,MB-2212,1.23
U-1113,Q-3016,galvanized_steel,2.0,MB-2216,3.37
U-1114,Q-3017,stainless_steel_304,4.0,MB-2214,3.44
U-1115,Q-3011,aluminum_5754,2.5,MB-2215,2.76
U-1116,Q-3010,galvanized_steel,3.0,MB-2206,3.17
U-1117,Q-3019,galvanized_steel,2.0,MB-2202,1.99
U-1118,Q-3014,galvanized_steel,2.0,MB-2213,2.45
U-1119,Q-3002,aluminum_5754,2.0,MB-2213,3.27
U-1120,Q-3014,galvanized_steel,3.0,MB-2212,2.2
U-1121,Q-3006,galvanized_steel,4.0,MB-2203,1.28
U-1122,Q-3013,stainless_steel_304,2.0,MB-2208,1.14
U-1123,Q-3004,aluminum_5754,3.0,MB-2217,2.7
U-1124,Q-3014,aluminum_5754,2.0,MB-2212,3.41
U-1125,Q-3004,stainless_steel_304,3.0,MB-2211,2.32
U-1126,Q-3008,stainless_steel_304,2.5,MB-2218,3.42
U-1127,Q-3011,galvanized_steel,2.5,MB-2221,2.14
U-1128,Q-3005,aluminum_5754,1.5,MB-2216,1.7
U-1129,Q-3003,galvanized_steel,1.5,MB-2204,1.84
U-1130,Q-3002,galvanized_steel,2.0,MB-2205,1.66
U-1131,Q-3017,aluminum_5754,2.5,MB-2201,2.34
U-1132,Q-3017,aluminum_5754,2.5,MB-2214,1.41
U-1133,Q-3018,aluminum_5754,3.0,MB-2202,2.53
U-1134,Q-3012,aluminum_5754,3.0,MB-2223,1.11
U-1135,Q-3019,galvanized_steel,3.0,MB-2217,3.47
U-1136,Q-3006,aluminum_5754,2.0,MB-2217,3.07
U-1137,Q-3006,stainless_steel_304,1.5,MB-2221,1.33
U-1138,Q-3007,stainless_steel_304,2.5,MB-2205,2.34
U-1139,Q-3005,galvanized_steel,3.0,MB-2210,3.36
U-1140,Q-3015,stainless_steel_304,2.0,MB-2219,1.32
U-1141,Q-3008,galvanized_steel,2.0,MB-2202,2.68
U-1142,Q-3000,stainless_steel_304,1.5,MB-2222,2.25
U-1143,Q-3012,aluminum_5754,2.0,MB-2212,3.04
U-1144,Q-3007,aluminum_5754,2.5,MB-2223,2.2
U-1145,Q-3003,aluminum_5754,2.5,MB-2207,3.01
U-1146,Q-3012,galvanized_steel,4.0,MB-2218,2.52
U-1147,Q-3009,galvanized_steel,1.5,MB-2206,2.82
U-1148,Q-3016,aluminum_5754,2.0,MB-2219,2.56
U-1149,Q-3009,aluminum_5754,1.5,MB-2210,3.32
U-1150,Q-3014,stainless_steel_304,1.5,MB-2202,2.55
U-1151,Q-3016,stainless_steel_304,2.5,MB-2215,1.85
U-1152,Q-3014,galvanized_steel,2.5,MB-2216,2.0
U-1153,Q-3002,stainless_steel_304,2.5,MB-2203,2.03
U-1154,Q-3012,galvanized_steel,1.5,MB-2219,1.48
U-1155,Q-3011,stainless_steel_304,2.0,MB-2221,1.44
U-1156,Q-3019,stainless_steel_304,2.0,MB-2202,1.52
U-1157,Q-3009,galvanized_steel,1.5,MB-2222,3.0
U-1158,Q-3019,galvanized_steel,1.5,MB-2217,1.94
U-1159,Q-3016,aluminum_5754,1.5,MB-2220,2.49
U-1160,Q-3006,galvanized_steel,2.0,MB-2223,2.55
U-1161,Q-3017,galvanized_steel,3.0,MB-2224,1.09
U-1162,Q-3008,galvanized_steel,3.0,MB-2213,2.87
U-1163,Q-3007,galvanized_steel,2.0,MB-2205,1.67
U-1164,Q-3006,stainless_steel_304,2.0,MB-2212,1.53
U-1165,Q-3006,aluminum_5754,2.5,MB-2203,2.7
U-1166,Q-3012,galvanized_steel,1.5,MB-2202,2.34
U-1167,Q-3016,aluminum_5754,2.0,MB-2209,1.32
U-1168,Q-3019,galvanized_steel,2.5,MB-2224,2.43
U-1169,Q-3008,aluminum_5754,2.5,MB-2222,1.59
U-1170,Q-3015,stainless_steel_304,2.0,MB-2211,1.4
U-1171,Q-3014,stainless_steel_304,3.0,MB-2219,1.2
U-1172,Q-3005,aluminum_5754,1.5,MB-2211,1.99
U-1173,Q-3014,aluminum_5754,2.0,MB-2219,1.43
U-1174,Q-3003,galvanized_steel,2.5,MB-2212,1.7
U-1175,Q-3018,aluminum_5754,3.0,MB-2220,1.5
U-1176,Q-3009,galvanized_steel,3.0,MB-2206,2.92
U-1177,Q-3007,galvanized_steel,4.0,MB-2203,1.8
U-1178,Q-3004,galvanized_steel,2.0,MB-2210,2.37
U-1179,Q-3006,stainless_steel_304,2.5,MB-2205,1.22
U-1180,Q-3017,stainless_steel_304,2.0,MB-2203,2.52
U-1181,Q-3017,stainless_steel_304,3.0,MB-2218,2.86
U-1182,Q-3015,aluminum_5754,4.0,MB-2203,1.45
U-1183,Q-3002,aluminum_5754,1.5,MB-2211,2.95
U-1184,Q-3008,aluminum_5754,3.0,MB-2205,3.06
U-1185,Q-3009,galvanized_steel,2.5,MB-2213,1.9
U-1186,Q-3015,galvanized_steel,3.0,MB-2214,2.1
U-1187,Q-3000,galvanized_steel,2.0,MB-2215,2.87
U-1188,Q-3003,stainless_steel_304,3.0,MB-2214,1.96
U-1189,Q-3012,stainless_steel_304,2.5,MB-2203,2.08
U-1190,Q-3013,aluminum_5754,2.5,MB-2215,1.42
U-1191,Q-3014,galvanized_steel,3.0,MB-2206,2.43
U-1192,Q-3002,stainless_steel_304,2.0,MB-2204,2.86
U-1193,Q-3004,aluminum_5754,2.0,MB-2222,2.89
U-1194,Q-3004,stainless_steel_304,3.0,MB-2224,1.32
U-1195,Q-3008,stainless_steel_304,2.0,MB-2202,2.81
U-1196,Q-3014,galvanized_steel,2.5,MB-2205,2.79
U-1197,Q-3018,stainless_steel_304,4.0,MB-2208,2.46
U-1198,Q-3007,galvanized_steel,4.0,MB-2213,1.38
U-1199,Q-3011,galvanized_steel,2.5,MB-2211,1.05
U-1200,Q-3003,stainless_steel_304,4.0,MB-2205,2.98
U-1201,Q-3013,stainless_steel_304,2.5,MB-2222,2.52
U-1202,Q-3015,aluminum_5754,4.0,MB-2223,3.31
U-1203,Q-3016,stainless_steel_304,4.0,MB-2222,3.1
U-1204,Q-3008,stainless_steel_304,2.0,MB-2215,1.57
U-1205,Q-3003,galvanized_steel,3.0,MB-2221,1.51
U-1206,Q-3005,stainless_steel_304,2.0,MB-2211,2.34
U-1207,Q-3010,stainless_steel_304,2.0,MB-2217,2.84
U-1208,Q-3000,stainless_steel_304,2.0,MB-2224,1.35
U-1209,Q-3009,stainless_steel_304,1.5,MB-2211,1.78
U-1210,Q-3013,stainless_steel_304,2.0,MB-2217,2.29
U-1211,Q-3010,galvanized_steel,2.5,MB-2208,3.15
U-1212,Q-3009,galvanized_steel,1.5,MB-2224,2.87
U-1213,Q-3015,stainless_steel_304,2.0,MB-2216,2.56
U-1214,Q-3012,galvanized_steel,2.0,MB-2218,2.79
U-1215,Q-3014,galvanized_steel,2.0,MB-2219,2.24
U-1216,Q-3004,stainless_steel_304,3.0,MB-2210,3.37
U-1217,Q-3001,aluminum_5754,2.5,MB-2223,3.0
U-1218,Q-3016,aluminum_5754,2.5,MB-2223,1.07
U-1219,Q-3005,stainless_steel_304,2.5,MB-2222,1.05
U-1220,Q-3013,aluminum_5754,1.5,MB-2215,2.63
U-1221,Q-3009,stainless_steel_304,2.0,MB-2224,2.81
U-1222,Q-3003,aluminum_5754,4.0,MB-2214,1.35
U-1223,Q-3015,aluminum_5754,1.5,MB-2223,1.21
U-1224,Q-3015,stainless_steel_304,1.5,MB-2218,2.46
U-1225,Q-3006,aluminum_5754,2.5,MB-2202,1.84
