feature,coefficient
risk_score_raw,0.8605090392443511
process_step_welding,0.4688492224977179
queue_length_units,0.46254050064096736
machine_id_B-02,0.4152518416489977
power_usage_kW,0.41307299747003623
pressure_bar,0.3710927973148633
machine_id_W-01,0.3206422780885945
machine_id_L-01,0.293114722956317
time_taken_min,0.20999055433918284
material_type_stainless_steel_304,0.2087353158870399
thickness_mm,0.17444960223886402
machine_id_W-02,0.1482069444091242
process_step_bending,0.12098627214674634
temperature_C,0.10724167286804041
estimated_time_hours,0.0613301099151119
estimated_cost_eur,0.05561296559698487
material_type_aluminum_5754,0.016782806627702464
machine_id_L-02,-0.16588190365494085
average_wait_time_min,-0.21671385860425793
material_type_galvanized_steel,-0.26456949489563425
machine_id_B-01,-0.2942655695022532
process_step_laser_cutting,-0.628886867025356
machine_id_L-03,-0.7561196863267311
