unit_id,process_step,machine_id,start_time,end_time,status,time_taken_min,speed,force_kN,temperature_C,pressure_bar,power_usage_kW,queue_length_units,average_wait_time_min,queue_timestamp,quote_id,material_type,thickness_mm,batch_id,weight_kg,quantity,estimated_time_hours,estimated_cost_eur,promised_delivery,quote_status,time_ratio,queue_ratio,wait_ratio,temp_ratio,power_ratio,material_difficulty,thickness_norm,process_complexity,operational_stress,risk_score_raw,formula_risk_probability,risk_probability,defect_flag,result,defect_type,severity,inspection_timestamp,storage_location,qr_code,recommended_device
U-1042,laser_cutting,L-03,2026-03-28 10:24:00,2026-03-28 10:28:45,completed,4.75,24.16,,332.12,13.85,19.11,3,25,09:59,Q-3006,aluminum_5754,3.0,MB-2206,2.58,120,30.5,2836.0,2026-04-10 17:00,accepted,0.6993865030674847,0.42857142857142855,1.0869565217391304,1.0559247130639369,1.0578466648214782,0.55,0.6,0.55,0.3348082393671372,0.1316633401311267,0.02583047321199895,0.02583047321199895,0,pass,-,-,2026-03-28 10:28:45,Zone-A,QR_U-1042,phone_or_ipad
U-1042,bending,B-02,2026-03-28 10:48:45,2026-03-28 10:58:20,completed,9.583333333333334,11.4,81.11,27.6,,8.04,4,18,10:30,Q-3006,aluminum_5754,3.0,MB-2206,2.58,120,30.5,2836.0,2026-04-10 17:00,accepted,1.2195121951219512,0.5714285714285714,0.75,0.9956709956709958,1.1244755244755242,0.55,0.6,0.7,0.7802144007402162,0.39049730757047824,0.05226977329354765,0.05226977329354765,0,pass,-,-,2026-03-28 10:58:20,Zone-A,QR_U-1042,phone_or_ipad
U-1042,welding,W-01,2026-03-28 11:14:20,2026-03-28 11:24:12,completed,9.866666666666667,0.6,,1533.19,2.88,9.99,10,14,11:00,Q-3006,aluminum_5754,3.0,MB-2206,2.58,120,30.5,2836.0,2026-04-10 17:00,accepted,1.0111016225448335,1.4285714285714286,0.5833333333333334,1.0392993563650044,1.0438871473354232,0.55,0.6,1.0,1.5670793077547793,1.1204617050446675,0.30318122913556694,0.30318122913556694,0,pass,-,-,2026-03-28 11:24:12,Zone-C,QR_U-1042,phone_or_ipad
U-1043,laser_cutting,L-02,2026-03-28 09:55:00,2026-03-28 10:02:16,completed,7.266666666666667,21.97,,331.15,15.0,20.54,9,35,09:20,Q-3000,aluminum_5754,1.5,MB-2211,3.23,120,30.7,3038.0,2026-04-06 14:00,accepted,1.0699386503067485,1.2857142857142858,1.5217391304347827,1.0528407465106668,1.137005258787711,0.55,0.0,0.55,1.646753152119312,0.49814282851609193,0.0695860629325224,0.0695860629325224,0,pass,-,-,2026-03-28 10:02:16,Zone-B,QR_U-1043,phone_or_ipad
U-1043,bending,B-01,2026-03-28 10:16:16,2026-03-28 10:23:42,completed,7.433333333333334,9.62,75.2,28.19,,7.61,6,10,10:06,Q-3000,aluminum_5754,1.5,MB-2211,3.23,120,30.7,3038.0,2026-04-06 14:00,accepted,0.9459172852598091,0.8571428571428571,0.4166666666666667,1.016955266955267,1.0643356643356643,0.55,0.0,0.7,0.8775802420346634,0.33786839318334544,0.04536592664852092,0.04536592664852092,0,pass,-,-,2026-03-28 10:23:42,Zone-A,QR_U-1043,phone_or_ipad
U-1043,welding,W-02,2026-03-28 10:54:42,2026-03-28 11:02:57,completed,8.25,0.55,,1505.41,2.98,9.03,3,22,10:32,Q-3000,aluminum_5754,1.5,MB-2211,3.23,120,30.7,3038.0,2026-04-06 14:00,accepted,0.8454312553373186,0.42857142857142855,0.9166666666666666,1.0204682029399104,0.9435736677115987,0.55,0.0,1.0,0.3488805864758196,0.1918843225617008,0.030482869711325133,0.030482869711325133,0,pass,-,-,2026-03-28 11:02:57,Zone-D,QR_U-1043,phone_or_ipad
U-1044,laser_cutting,L-03,2026-03-28 08:34:00,2026-03-28 08:42:46,completed,8.766666666666667,19.88,,337.15,13.42,20.3,3,27,08:07,Q-3004,aluminum_5754,3.0,MB-2201,1.8,60,7.2,1664.0,2026-04-04 14:00,open,1.2907975460122703,0.42857142857142855,1.173913043478261,1.0719168282834706,1.123719900359812,0.55,0.6,0.55,0.666347092159135,0.2620409939915799,0.036929256373411226,0.036929256373411226,0,pass,-,-,2026-03-28 08:42:46,Zone-B,QR_U-1044,phone_or_ipad
U-1044,bending,B-02,2026-03-28 09:00:46,2026-03-28 09:11:18,completed,10.533333333333333,10.4,76.44,28.97,,6.87,10,13,08:47,Q-3004,aluminum_5754,3.0,MB-2201,1.8,60,7.2,1664.0,2026-04-04 14:00,open,1.3404029692470838,1.4285714285714286,0.5416666666666666,1.045093795093795,0.9608391608391608,0.55,0.6,0.7,1.9228406983430326,0.9623817695206878,0.21763760687477848,0.21763760687477848,1,fail,angle_deviation,low,2026-03-28 09:11:18,Zone-A,QR_U-1044,phone_or_ipad
U-1044,welding,W-02,2026-03-28 09:32:18,2026-03-28 09:43:17,completed,10.983333333333333,0.6,,1429.93,3.18,10.17,9,18,09:14,Q-3004,aluminum_5754,3.0,MB-2201,1.8,60,7.2,1664.0,2026-04-04 14:00,open,1.125533731853117,1.2857142857142858,0.75,0.9693027795948387,1.0626959247648902,0.55,0.6,1.0,1.490635493127808,1.0658043775863828,0.27153486218491074,0.27153486218491074,0,pass,-,-,2026-03-28 09:43:17,Zone-D,QR_U-1044,phone_or_ipad
U-1045,laser_cutting,L-03,2026-03-28 08:39:00,2026-03-28 08:45:51,completed,6.85,23.99,,341.77,14.63,19.57,10,8,08:31,Q-3009,stainless_steel_304,2.0,MB-2209,3.05,250,6.8,6606.0,2026-04-03 17:00,open,1.0085889570552147,1.4285714285714286,0.34782608695652173,1.0866054112485295,1.0833102684749518,1.0,0.2,0.55,1.696058750962446,1.02611554433228,0.24989918827730878,0.24989918827730878,1,fail,edge_burr,high,2026-03-28 08:45:51,Zone-A,QR_U-1045,phone_or_ipad
U-1045,bending,B-01,2026-03-28 09:16:51,2026-03-28 09:24:31,completed,7.666666666666667,9.28,77.98,27.82,,7.53,10,21,08:55,Q-3009,stainless_steel_304,2.0,MB-2209,3.05,250,6.8,6606.0,2026-04-03 17:00,open,0.975609756097561,1.4285714285714286,0.875,1.0036075036075036,1.053146853146853,1.0,0.2,0.7,1.4730955877614098,1.1342836025762855,0.31150661607479035,0.31150661607479035,0,pass,-,-,2026-03-28 09:24:31,Zone-A,QR_U-1045,phone_or_ipad
U-1045,welding,W-02,2026-03-28 09:34:31,2026-03-28 09:43:25,completed,8.9,0.59,,1417.07,3.41,9.4,2,8,09:26,Q-3009,stainless_steel_304,2.0,MB-2209,3.05,250,6.8,6606.0,2026-04-03 17:00,open,0.9120409906063195,0.2857142857142857,0.3333333333333333,0.9605854061950291,0.9822361546499477,1.0,0.2,1.0,0.24586585147108608,0.27045243661819474,0.037785122915669496,0.037785122915669496,1,fail,weak_joint,medium,2026-03-28 09:43:25,Zone-D,QR_U-1045,phone_or_ipad
U-1046,laser_cutting,L-03,2026-03-28 11:06:00,2026-03-28 11:13:43,completed,7.716666666666667,22.85,,338.17,12.72,19.22,11,21,10:45,Q-3013,stainless_steel_304,2.5,MB-2205,2.04,40,11.2,722.0,2026-04-04 08:00,accepted,1.136196319018405,1.5714285714285714,0.9130434782608695,1.0751597621848474,1.0639357874342652,1.0,0.4,0.55,2.0423795019005286,1.347970471254349,0.4530260679205929,0.4530260679205929,0,pass,-,-,2026-03-28 11:13:43,Zone-A,QR_U-1046,phone_or_ipad
U-1046,bending,B-01,2026-03-28 11:48:43,2026-03-28 11:58:06,completed,9.383333333333333,10.87,84.98,27.84,,7.67,10,25,11:23,Q-3013,stainless_steel_304,2.5,MB-2205,2.04,40,11.2,722.0,2026-04-04 08:00,accepted,1.1940615058324495,1.4285714285714286,1.0416666666666667,1.0043290043290043,1.0727272727272728,1.0,0.4,0.7,1.8377819634378558,1.5437368492877985,0.5903652712553283,0.5903652712553283,1,fail,angle_deviation,low,2026-03-28 11:58:06,Zone-B,QR_U-1046,phone_or_ipad
U-1046,welding,W-01,2026-03-28 12:29:06,2026-03-28 12:40:51,completed,11.75,0.61,,1531.56,2.97,9.55,5,23,12:06,Q-3013,stainless_steel_304,2.5,MB-2205,2.04,40,11.2,722.0,2026-04-04 08:00,accepted,1.2040990606319386,0.7142857142857143,0.9583333333333334,1.038194432675915,0.9979101358411704,1.0,0.4,1.0,0.8910545893321024,1.0692655071985229,0.27347635609968807,0.27347635609968807,0,pass,-,-,2026-03-28 12:40:51,Zone-D,QR_U-1046,phone_or_ipad
U-1047,laser_cutting,L-03,2026-03-28 08:31:00,2026-03-28 08:38:10,completed,7.166666666666667,22.51,,317.69,13.92,19.55,10,20,08:11,Q-3009,stainless_steel_304,2.0,MB-2222,3.36,250,6.8,6606.0,2026-04-03 17:00,open,1.0552147239263805,1.4285714285714286,0.8695652173913043,1.0100467364003434,1.0822031552726268,1.0,0.2,0.55,1.6477566310088223,0.9968927617603376,0.2347220958807672,0.2347220958807672,0,pass,-,-,2026-03-28 08:38:10,Zone-A,QR_U-1047,phone_or_ipad
U-1047,bending,B-01,2026-03-28 09:25:10,2026-03-28 09:31:28,completed,6.3,10.0,78.86,28.17,,6.7,8,39,08:46,Q-3009,stainless_steel_304,2.0,MB-2222,3.36,250,6.8,6606.0,2026-04-03 17:00,open,0.8016967126193001,1.1428571428571428,1.625,1.0162337662337664,0.9370629370629371,1.0,0.2,0.7,0.8724979830735158,0.6718234469666072,0.10893844081883962,0.10893844081883962,1,fail,angle_deviation,medium,2026-03-28 09:31:28,Zone-B,QR_U-1047,phone_or_ipad
U-1047,welding,W-01,2026-03-28 10:13:28,2026-03-28 10:23:41,completed,10.216666666666667,0.56,,1535.93,2.8,10.26,7,38,09:35,Q-3009,stainless_steel_304,2.0,MB-2222,3.36,250,6.8,6606.0,2026-04-03 17:00,open,1.0469684030742956,1.0,1.5833333333333333,1.0411567127503447,1.0721003134796239,1.0,0.2,1.0,1.1686517174521085,1.2855168891973194,0.40970964110070984,0.40970964110070984,0,pass,-,-,2026-03-28 10:23:41,Zone-C,QR_U-1047,phone_or_ipad
U-1048,laser_cutting,L-01,2026-03-28 08:58:00,2026-03-28 09:03:11,completed,5.183333333333334,19.48,,323.52,11.8,18.98,5,35,08:23,Q-3009,galvanized_steel,3.0,MB-2217,1.91,250,6.8,6606.0,2026-04-03 17:00,open,0.7631901840490799,0.7142857142857143,1.5217391304347827,1.0285823291895846,1.050650429006366,0.75,0.6,0.55,0.589117659507742,0.31591434491102666,0.04275036594058586,0.04275036594058586,0,pass,-,-,2026-03-28 09:03:11,Zone-B,QR_U-1048,phone_or_ipad
U-1048,bending,B-02,2026-03-28 09:18:11,2026-03-28 09:28:39,completed,10.466666666666667,11.21,86.8,28.98,,8.04,5,9,09:09,Q-3009,galvanized_steel,3.0,MB-2217,1.91,250,6.8,6606.0,2026-04-03 17:00,open,1.3319194061505832,0.7142857142857143,0.375,1.0454545454545454,1.1244755244755242,0.75,0.6,0.7,1.118420382278475,0.7633219109050593,0.13672840960000648,0.13672840960000648,0,pass,-,-,2026-03-28 09:28:39,Zone-B,QR_U-1048,phone_or_ipad
U-1048,welding,W-02,2026-03-28 09:59:39,2026-03-28 10:11:34,completed,11.916666666666666,0.55,,1561.55,3.03,10.39,4,20,09:39,Q-3009,galvanized_steel,3.0,MB-2217,1.91,250,6.8,6606.0,2026-04-03 17:00,open,1.2211784799316823,0.5714285714285714,0.8333333333333334,1.0585236728205718,1.0856844305120168,0.75,0.6,1.0,0.8019462824940138,0.7818976254316635,0.14305160804771963,0.14305160804771963,1,fail,weak_joint,medium,2026-03-28 10:11:34,Zone-D,QR_U-1048,phone_or_ipad
U-1049,laser_cutting,L-02,2026-03-28 11:21:00,2026-03-28 11:25:09,completed,4.15,20.63,,297.29,13.82,16.64,3,30,10:51,Q-3016,aluminum_5754,2.0,MB-2217,2.24,180,25.0,4388.0,2026-04-04 08:00,accepted,0.6110429447852762,0.42857142857142855,1.3043478260869565,0.9451880583728104,0.9211181843343483,0.55,0.2,0.55,0.22799668410608406,0.07586589663629949,0.022141506104947882,0.022141506104947882,0,pass,-,-,2026-03-28 11:25:09,Zone-B,QR_U-1049,phone_or_ipad
U-1049,bending,B-01,2026-03-28 12:01:09,2026-03-28 12:10:03,completed,8.9,10.19,72.75,27.02,,8.0,10,27,11:34,Q-3016,aluminum_5754,2.0,MB-2217,2.24,180,25.0,4388.0,2026-04-04 08:00,accepted,1.1325556733828208,1.4285714285714286,1.125,0.9747474747474748,1.1188811188811187,0.55,0.2,0.7,1.764564687537791,0.7472931451722545,0.1314627775248031,0.1314627775248031,0,pass,-,-,2026-03-28 12:10:03,Zone-A,QR_U-1049,phone_or_ipad
U-1049,welding,W-02,2026-03-28 12:23:03,2026-03-28 12:31:21,completed,8.3,0.6,,1488.26,3.03,8.72,9,11,12:12,Q-3016,aluminum_5754,2.0,MB-2217,2.24,180,25.0,4388.0,2026-04-04 08:00,accepted,0.8505550811272418,1.2857142857142858,0.4583333333333333,1.0088427788491845,0.9111807732497388,0.55,0.2,1.0,1.0052520088707386,0.6081774653667971,0.0926483578958776,0.0926483578958776,0,pass,-,-,2026-03-28 12:31:21,Zone-D,QR_U-1049,phone_or_ipad
U-1050,laser_cutting,L-02,2026-03-28 09:40:00,2026-03-28 09:44:58,completed,4.966666666666667,20.79,,318.19,15.26,17.34,10,8,09:32,Q-3006,stainless_steel_304,1.5,MB-2202,2.52,120,30.5,2836.0,2026-04-10 17:00,accepted,0.7312883435582823,1.4285714285714286,0.34782608695652173,1.0116364098814103,0.9598671464157211,1.0,0.0,0.55,1.0144395901174692,0.5579417745646081,0.08137108222272622,0.08137108222272622,0,pass,-,-,2026-03-28 09:44:58,Zone-A,QR_U-1050,phone_or_ipad
U-1050,bending,B-01,2026-03-28 10:09:58,2026-03-28 10:15:09,completed,5.183333333333334,9.95,83.37,28.48,,7.32,6,19,09:50,Q-3006,stainless_steel_304,1.5,MB-2202,2.52,120,30.5,2836.0,2026-04-10 17:00,accepted,0.6595970307529162,0.8571428571428571,0.7916666666666666,1.0274170274170276,1.0237762237762238,1.0,0.0,0.7,0.594680503697044,0.4162763525879307,0.05600346012808916,0.05600346012808916,0,pass,-,-,2026-03-28 10:15:09,Zone-B,QR_U-1050,phone_or_ipad
U-1050,welding,W-02,2026-03-28 10:47:09,2026-03-28 10:54:32,completed,7.383333333333334,0.6,,1424.83,3.03,8.67,5,25,10:22,Q-3006,stainless_steel_304,1.5,MB-2202,2.52,120,30.5,2836.0,2026-04-10 17:00,accepted,0.7566182749786508,0.7142857142857143,1.0416666666666667,0.9658456563958472,0.9059561128526645,1.0,0.0,1.0,0.4728938672470627,0.4728938672470627,0.06510042730956737,0.06510042730956737,0,pass,-,-,2026-03-28 10:54:32,Zone-D,QR_U-1050,phone_or_ipad
U-1051,laser_cutting,L-01,2026-03-28 09:22:00,2026-03-28 09:30:13,completed,8.216666666666667,20.34,,311.84,12.73,17.34,2,24,08:58,Q-3011,stainless_steel_304,4.0,MB-2202,1.6,180,16.1,3728.0,2026-04-06 15:00,accepted,1.2098159509202455,0.2857142857142857,1.0434782608695652,0.9914475566718596,0.9598671464157211,1.0,1.0,0.55,0.32895170058715106,0.27138515298439964,0.03788119270386071,0.03788119270386071,0,pass,-,-,2026-03-28 09:30:13,Zone-A,QR_U-1051,phone_or_ipad
