unit_id,process_step,machine_id,start_time,end_time,status,start_time_dt,end_time_dt,time_taken_min
U-1042,laser_cutting,L-03,2026-03-28 10:24:00,2026-03-28 10:28:45,completed,2026-03-28 10:24:00,2026-03-28 10:28:45,4.75
U-1042,bending,B-02,2026-03-28 10:48:45,2026-03-28 10:58:20,completed,2026-03-28 10:48:45,2026-03-28 10:58:20,9.583333333333334
U-1042,welding,W-01,2026-03-28 11:14:20,2026-03-28 11:24:12,completed,2026-03-28 11:14:20,2026-03-28 11:24:12,9.866666666666667
U-1043,laser_cutting,L-02,2026-03-28 09:55:00,2026-03-28 10:02:16,completed,2026-03-28 09:55:00,2026-03-28 10:02:16,7.266666666666667
U-1043,bending,B-01,2026-03-28 10:16:16,2026-03-28 10:23:42,completed,2026-03-28 10:16:16,2026-03-28 10:23:42,7.433333333333334
U-1043,welding,W-02,2026-03-28 10:54:42,2026-03-28 11:02:57,completed,2026-03-28 10:54:42,2026-03-28 11:02:57,8.25
U-1044,laser_cutting,L-03,2026-03-28 08:34:00,2026-03-28 08:42:46,completed,2026-03-28 08:34:00,2026-03-28 08:42:46,8.766666666666667
U-1044,bending,B-02,2026-03-28 09:00:46,2026-03-28 09:11:18,completed,2026-03-28 09:00:46,2026-03-28 09:11:18,10.533333333333333
U-1044,welding,W-02,2026-03-28 09:32:18,2026-03-28 09:43:17,completed,2026-03-28 09:32:18,2026-03-28 09:43:17,10.983333333333333
U-1045,laser_cutting,L-03,2026-03-28 08:39:00,2026-03-28 08:45:51,completed,2026-03-28 08:39:00,2026-03-28 08:45:51,6.85
U-1045,bending,B-01,2026-03-28 09:16:51,2026-03-28 09:24:31,completed,2026-03-28 09:16:51,2026-03-28 09:24:31,7.666666666666667
U-1045,welding,W-02,2026-03-28 09:34:31,2026-03-28 09:43:25,completed,2026-03-28 09:34:31,2026-03-28 09:43:25,8.9
U-1046,laser_cutting,L-03,2026-03-28 11:06:00,2026-03-28 11:13:43,completed,2026-03-28 11:06:00,2026-03-28 11:13:43,7.716666666666667
U-1046,bending,B-01,2026-03-28 11:48:43,2026-03-28 11:58:06,completed,2026-03-28 11:48:43,2026-03-28 11:58:06,9.383333333333333
U-1046,welding,W-01,2026-03-28 12:29:06,2026-03-28 12:40:51,completed,2026-03-28 12:29:06,2026-03-28 12:40:51,11.75
U-1047,laser_cutting,L-03,2026-03-28 08:31:00,2026-03-28 08:38:10,completed,2026-03-28 08:31:00,2026-03-28 08:38:10,7.166666666666667
U-1047,bending,B-01,2026-03-28 09:25:10,2026-03-28 09:31:28,completed,2026-03-28 09:25:10,2026-03-28 09:31:28,6.3
U-1047,welding,W-01,2026-03-28 10:13:28,2026-03-28 10:23:41,completed,2026-03-28 10:13:28,2026-03-28 10:23:41,10.216666666666667
U-1048,laser_cutting,L-01,2026-03-28 08:58:00,2026-03-28 09:03:11,completed,2026-03-28 08:58:00,2026-03-28 09:03:11,5.183333333333334
U-1048,bending,B-02,2026-03-28 09:18:11,2026-03-28 09:28:39,completed,2026-03-28 09:18:11,2026-03-28 09:28:39,10.466666666666667
U-1048,welding,W-02,2026-03-28 09:59:39,2026-03-28 10:11:34,completed,2026-03-28 09:59:39,2026-03-28 10:11:34,11.916666666666666
U-1049,laser_cutting,L-02,2026-03-28 11:21:00,2026-03-28 11:25:09,completed,2026-03-28 11:21:00,2026-03-28 11:25:09,4.15
U-1049,bending,B-01,2026-03-28 12:01:09,2026-03-28 12:10:03,completed,2026-03-28 12:01:09,2026-03-28 12:10:03,8.9
U-1049,welding,W-02,2026-03-28 12:23:03,2026-03-28 12:31:21,completed,2026-03-28 12:23:03,2026-03-28 12:31:21,8.3
U-1050,laser_cutting,L-02,2026-03-28 09:40:00,2026-03-28 09:44:58,completed,2026-03-28 09:40:00,2026-03-28 09:44:58,4.966666666666667
U-1050,bending,B-01,2026-03-28 10:09:58,2026-03-28 10:15:09,completed,2026-03-28 10:09:58,2026-03-28 10:15:09,5.183333333333334
U-1050,welding,W-02,2026-03-28 10:47:09,2026-03-28 10:54:32,completed,2026-03-28 10:47:09,2026-03-28 10:54:32,7.383333333333334
U-1051,laser_cutting,L-01,2026-03-28 09:22:00,2026-03-28 09:30:13,completed,2026-03-28 09:22:00,2026-03-28 09:30:13,8.216666666666667
U-1051,bending,B-01,2026-03-28 10:09:13,2026-03-28 10:16:46,completed,2026-03-28 10:09:13,2026-03-28 10:16:46,7.55
U-1051,welding,W-02,2026-03-28 10:38:46,2026-03-28 10:49:51,completed,2026-03-28 10:38:46,2026-03-28 10:49:51,11.083333333333334
U-1052,laser_cutting,L-03,2026-03-28 08:26:00,2026-03-28 08:37:01,completed,2026-03-28 08:26:00,2026-03-28 08:37:01,11.016666666666667
U-1052,bending,B-01,2026-03-28 09:10:01,2026-03-28 09:19:21,completed,2026-03-28 09:10:01,2026-03-28 09:19:21,9.333333333333334
U-1052,welding,W-01,2026-03-28 09:46:21,2026-03-28 09:58:33,completed,2026-03-28 09:46:21,2026-03-28 09:58:33,12.2
U-1053,laser_cutting,L-03,2026-03-28 09:34:00,2026-03-28 09:40:37,completed,2026-03-28 09:34:00,2026-03-28 09:40:37,6.616666666666666
U-1053,bending,B-02,2026-03-28 10:07:37,2026-03-28 10:14:25,completed,2026-03-28 10:07:37,2026-03-28 10:14:25,6.8
