unit_id,process_step,result,defect_type,severity,inspection_timestamp
U-1042,laser_cutting,pass,-,-,2026-03-28 10:28:45
U-1042,bending,pass,-,-,2026-03-28 10:58:20
U-1042,welding,pass,-,-,2026-03-28 11:24:12
U-1043,laser_cutting,pass,-,-,2026-03-28 10:02:16
U-1043,bending,pass,-,-,2026-03-28 10:23:42
U-1043,welding,pass,-,-,2026-03-28 11:02:57
U-1044,laser_cutting,pass,-,-,2026-03-28 08:42:46
U-1044,bending,fail,angle_deviation,low,2026-03-28 09:11:18
U-1044,welding,pass,-,-,2026-03-28 09:43:17
U-1045,laser_cutting,fail,edge_burr,high,2026-03-28 08:45:51
U-1045,bending,pass,-,-,2026-03-28 09:24:31
U-1045,welding,fail,weak_joint,medium,2026-03-28 09:43:25
U-1046,laser_cutting,pass,-,-,2026-03-28 11:13:43
U-1046,bending,fail,angle_deviation,low,2026-03-28 11:58:06
U-1046,welding,pass,-,-,2026-03-28 12:40:51
U-1047,laser_cutting,pass,-,-,2026-03-28 08:38:10
U-1047,bending,fail,angle_deviation,medium,2026-03-28 09:31:28
U-1047,welding,pass,-,-,2026-03-28 10:23:41
U-1048,laser_cutting,pass,-,-,2026-03-28 09:03:11
U-1048,bending,pass,-,-,2026-03-28 09:28:39
U-1048,welding,fail,weak_joint,medium,2026-03-28 10:11:34
U-1049,laser_cutting,pass,-,-,2026-03-28 11:25:09
U-1049,bending,pass,-,-,2026-03-28 12:10:03
U-1049,welding,pass,-,-,2026-03-28 12:31:21
U-1050,laser_cutting,pass,-,-,2026-03-28 09:44:58
U-1050,bending,pass,-,-,2026-03-28 10:15:09
U-1050,welding,pass,-,-,2026-03-28 10:54:32
U-1051,laser_cutting,pass,-,-,2026-03-28 09:30:13
U-1051,bending,pass,-,-,2026-03-28 10:16:46
U-1051,welding,pass,-,-,2026-03-28 10:49:51
U-1052,laser_cutting,pass,-,-,2026-03-28 08:37:01
U-1052,bending,pass,-,-,2026-03-28 09:19:21
U-1052,welding,fail,surface_porosity,high,2026-03-28 09:58:33
U-1053,laser_cutting,fail,edge_burr,high,2026-03-28 09:40:37
U-1053,bending,pass,-,-,2026-03-28 10:14:25
U-1053,welding,pass,-,-,2026-03-28 10:40:30
U-1054,laser_cutting,pass,-,-,2026-03-28 09:00:14
U-1054,bending,pass,-,-,2026-03-28 09:46:15
U-1054,welding,pass,-,-,2026-03-28 10:15:01
U-1055,laser_cutting,pass,-,-,2026-03-28 10:21:08
U-1055,bending,pass,-,-,2026-03-28 10:53:48
U-1055,welding,pass,-,-,2026-03-28 11:26:16
U-1056,laser_cutting,pass,-,-,2026-03-28 09:24:20
U-1056,bending,pass,-,-,2026-03-28 09:54:03
U-1056,welding,fail,surface_porosity,medium,2026-03-28 10:43:39
U-1057,laser_cutting,pass,-,-,2026-03-28 10:01:46
U-1057,bending,pass,-,-,2026-03-28 10:24:24
U-1057,welding,pass,-,-,2026-03-28 11:00:07
U-1058,laser_cutting,pass,-,-,2026-03-28 10:52:49
U-1058,bending,pass,-,-,2026-03-28 11:25:02
U-1058,welding,fail,surface_porosity,low,2026-03-28 11:51:05
U-1059,laser_cutting,pass,-,-,2026-03-28 09:15:31
U-1059,bending,pass,-,-,2026-03-28 09:34:12
U-1059,welding,pass,-,-,2026-03-28 10:25:53
U-1060,laser_cutting,pass,-,-,2026-03-28 10:09:34
U-1060,bending,pass,-,-,2026-03-28 10:59:43
U-1060,welding,pass,-,-,2026-03-28 11:40:57
U-1061,laser_cutting,fail,incomplete_cut,low,2026-03-28 10:53:06
U-1061,bending,pass,-,-,2026-03-28 11:27:31
U-1061,welding,pass,-,-,2026-03-28 12:08:22
U-1062,laser_cutting,pass,-,-,2026-03-28 08:48:08
U-1062,bending,pass,-,-,2026-03-28 09:12:12
U-1062,welding,pass,-,-,2026-03-28 10:05:42
U-1063,laser_cutting,pass,-,-,2026-03-28 11:14:27
U-1063,bending,pass,-,-,2026-03-28 11:36:31
U-1063,welding,pass,-,-,2026-03-28 12:28:53
U-1064,laser_cutting,pass,-,-,2026-03-28 08:54:20
U-1064,bending,pass,-,-,2026-03-28 09:29:16
U-1064,welding,pass,-,-,2026-03-28 10:05:34
U-1065,laser_cutting,pass,-,-,2026-03-28 10:07:21
U-1065,bending,pass,-,-,2026-03-28 10:46:42
