unit_id,process_step,machine_id,queue_length_units,average_wait_time_min,queue_timestamp
U-1042,laser_cutting,L-03,3,25,09:59
U-1042,bending,B-02,4,18,10:30
U-1042,welding,W-01,10,14,11:00
U-1043,laser_cutting,L-02,9,35,09:20
U-1043,bending,B-01,6,10,10:06
U-1043,welding,W-02,3,22,10:32
U-1044,laser_cutting,L-03,3,27,08:07
U-1044,bending,B-02,10,13,08:47
U-1044,welding,W-02,9,18,09:14
U-1045,laser_cutting,L-03,10,8,08:31
U-1045,bending,B-01,10,21,08:55
U-1045,welding,W-02,2,8,09:26
U-1046,laser_cutting,L-03,11,21,10:45
U-1046,bending,B-01,10,25,11:23
U-1046,welding,W-01,5,23,12:06
U-1047,laser_cutting,L-03,10,20,08:11
U-1047,bending,B-01,8,39,08:46
U-1047,welding,W-01,7,38,09:35
U-1048,laser_cutting,L-01,5,35,08:23
U-1048,bending,B-02,5,9,09:09
U-1048,welding,W-02,4,20,09:39
U-1049,laser_cutting,L-02,3,30,10:51
U-1049,bending,B-01,10,27,11:34
U-1049,welding,W-02,9,11,12:12
U-1050,laser_cutting,L-02,10,8,09:32
U-1050,bending,B-01,6,19,09:50
U-1050,welding,W-02,5,25,10:22
U-1051,laser_cutting,L-01,2,24,08:58
U-1051,bending,B-01,3,36,09:33
U-1051,welding,W-02,3,17,10:21
U-1052,laser_cutting,L-03,7,22,08:04
U-1052,bending,B-01,9,24,08:46
U-1052,welding,W-01,6,23,09:23
U-1053,laser_cutting,L-03,10,18,09:16
U-1053,bending,B-02,3,20,09:47
U-1053,welding,W-02,11,14,10:16
U-1054,laser_cutting,L-02,11,18,08:34
U-1054,bending,B-02,6,36,09:03
U-1054,welding,W-01,8,13,09:51
U-1055,laser_cutting,L-03,10,11,10:03
U-1055,bending,B-02,5,23,10:24
U-1055,welding,W-02,2,20,10:56
U-1056,laser_cutting,L-01,8,38,08:38
U-1056,bending,B-02,9,20,09:26
U-1056,welding,W-02,10,33,10:01
U-1057,laser_cutting,L-01,5,25,09:30
U-1057,bending,B-02,11,8,10:05
U-1057,welding,W-02,6,22,10:31
U-1058,laser_cutting,L-02,4,14,10:32
U-1058,bending,B-01,5,15,11:00
U-1058,welding,W-01,8,11,11:32
U-1059,laser_cutting,L-03,7,19,08:49
U-1059,bending,B-02,2,10,09:18
U-1059,welding,W-02,10,30,09:45
U-1060,laser_cutting,L-03,9,29,09:31
U-1060,bending,B-02,8,39,10:12
U-1060,welding,W-01,8,25,11:04
U-1061,laser_cutting,L-02,8,13,10:33
U-1061,bending,B-02,2,17,11:04
U-1061,welding,W-02,10,22,11:35
U-1062,laser_cutting,L-01,3,32,08:09
U-1062,bending,B-01,6,9,08:55
U-1062,welding,W-02,7,39,09:17
U-1063,laser_cutting,L-03,10,30,10:38
U-1063,bending,B-01,2,11,11:18
U-1063,welding,W-01,3,38,11:43
U-1064,laser_cutting,L-03,6,36,08:13
U-1064,bending,B-01,2,20,09:02
U-1064,welding,W-01,4,24,09:34
U-1065,laser_cutting,L-02,9,10,09:51
U-1065,bending,B-01,2,31,10:09
U-1065,welding,W-02,9,34,10:54
U-1066,laser_cutting,L-01,8,12,09:08
U-1066,bending,B-01,5,28,09:28
U-1066,welding,W-01,4,35,10:07
U-1067,laser_cutting,L-01,10,9,10:15
U-1067,bending,B-01,10,33,10:40
U-1067,welding,W-02,3,18,11:25
U-1068,laser_cutting,L-02,11,32,08:58
U-1068,bending,B-01,11,39,09:43
U-1068,welding,W-01,6,37,10:36
U-1069,laser_cutting,L-01,3,9,08:21
U-1069,bending,B-01,9,19,08:38
U-1069,welding,W-02,10,39,09:14
U-1070,laser_cutting,L-01,5,15,08:02
U-1070,bending,B-01,10,27,08:27
U-1070,welding,W-02,6,32,09:12
U-1071,laser_cutting,L-02,9,29,08:19
U-1071,bending,B-02,7,21,09:00
U-1071,welding,W-01,11,30,09:40
U-1072,laser_cutting,L-03,2,38,10:38
U-1072,bending,B-02,5,37,11:27
U-1072,welding,W-02,7,20,12:22
U-1073,laser_cutting,L-01,10,27,10:23
U-1073,bending,B-01,7,24,11:05
U-1073,welding,W-02,2,28,11:43
U-1074,laser_cutting,L-02,4,8,08:38
U-1074,bending,B-02,10,11,08:58
U-1074,welding,W-01,8,35,09:25
U-1075,laser_cutting,L-03,5,25,08:44
U-1075,bending,B-02,3,39,09:24
U-1075,welding,W-01,11,28,10:19
U-1076,laser_cutting,L-01,6,39,09:54
U-1076,bending,B-01,2,24,10:45
U-1076,welding,W-02,2,24,11:24
U-1077,laser_cutting,L-02,3,23,09:05
U-1077,bending,B-02,11,10,09:41
U-1077,welding,W-02,9,15,10:04
U-1078,laser_cutting,L-02,11,24,10:47
U-1078,bending,B-01,5,30,11:25
U-1078,welding,W-02,11,15,12:16
U-1079,laser_cutting,L-02,3,14,08:41
U-1079,bending,B-01,2,30,09:09
