quote_id,quantity,estimated_time_hours,estimated_cost_eur,promised_delivery,quote_status
Q-3000,120,30.7,3038.0,2026-04-06 14:00,accepted
Q-3001,80,17.9,1707.0,2026-04-09 15:00,accepted
Q-3002,180,31.2,4738.0,2026-04-07 09:00,accepted
Q-3003,180,22.1,4341.0,2026-04-10 08:00,accepted
Q-3004,60,7.2,1664.0,2026-04-04 14:00,open
Q-3005,40,7.2,963.0,2026-04-06 16:00,accepted
Q-3006,120,30.5,2836.0,2026-04-10 17:00,accepted
Q-3007,120,12.3,2980.0,2026-04-09 10:00,open
Q-3008,120,10.7,3066.0,2026-04-07 13:00,accepted
Q-3009,250,6.8,6606.0,2026-04-03 17:00,open
Q-3010,250,24.9,5316.0,2026-04-08 16:00,open
Q-3011,180,16.1,3728.0,2026-04-06 15:00,accepted
Q-3012,120,21.8,2491.0,2026-04-02 16:00,open
Q-3013,40,11.2,722.0,2026-04-04 08:00,accepted
Q-3014,80,26.1,1499.0,2026-04-08 17:00,accepted
Q-3015,40,22.2,852.0,2026-04-08 14:00,accepted
Q-3016,180,25.0,4388.0,2026-04-04 08:00,accepted
Q-3017,250,28.1,6304.0,2026-04-08 14:00,accepted
Q-3018,60,6.7,1145.0,2026-04-08 08:00,accepted
Q-3019,120,29.6,2459.0,2026-04-05 14:00,accepted
